city,date_count,postal_code,room,price
Vantaa ,2,1450,2,2225
Vantaa ,2,1450,3,1928
Vantaa ,2,1480,3,1915
Vantaa ,2,1510,3,3097
Vantaa ,2,1520,2,3448
Vantaa ,2,1520,3,3201
Vantaa ,2,1600,2,2486
Vantaa ,2,1600,3,2130
Vantaa ,2,1610,1,2874
Vantaa ,2,1610,2,2341
Vantaa ,2,1610,3,2287
Vantaa ,2,1620,3,1964
Vantaa ,2,1650,2,2016
Vantaa ,2,1650,3,1817
Vantaa ,2,1710,2,2659
Vantaa ,2,1710,3,2345
Vantaa ,2,1730,3,1675
Espoo ,2,2100,2,4032
Espoo ,2,2100,3,3468
Espoo ,2,2110,3,3642
Espoo ,2,2120,2,3485
Espoo ,2,2120,3,3354
Espoo ,2,2160,3,3874
Espoo ,2,2170,1,3745
Espoo ,2,2170,2,3493
Espoo ,2,2170,3,3619
Espoo ,2,2200,3,3147
Espoo ,2,2210,3,2431
Espoo ,2,2230,1,3416
Espoo ,2,2230,2,3131
Espoo ,2,2230,3,2890
Espoo ,2,2260,3,1920
Espoo ,2,2320,1,3024
Espoo ,2,2320,2,2911
Espoo ,2,2320,3,2377
Espoo ,2,2360,3,1965
Espoo ,2,2600,2,3377
Espoo ,2,2600,3,2955
Espoo ,2,2620,2,2562
Espoo ,2,2650,2,2885
Espoo ,2,2650,3,2782
Kauniainen ,2,2700,2,3330
Kauniainen ,2,2700,3,3056
Espoo ,2,2750,2,3231
Espoo ,2,2760,1,2403
Espoo ,2,2760,2,2337
Espoo ,2,2760,3,2403
Helsinki ,3,100,1,5826
Helsinki ,3,100,2,5081
Helsinki ,3,100,3,4828
Helsinki ,3,120,1,5395
Helsinki ,3,120,2,5534
Helsinki ,3,120,3,5884
Helsinki ,3,140,1,6082
Helsinki ,3,140,2,5943
Helsinki ,3,140,3,6420
Helsinki ,3,150,1,5225
Helsinki ,3,150,2,5240
Helsinki ,3,150,3,5633
Helsinki ,3,160,2,5304
Helsinki ,3,170,1,5743
Helsinki ,3,170,2,5086
Helsinki ,3,170,3,5554
Helsinki ,3,180,1,5677
Helsinki ,3,180,2,4947
Helsinki ,3,180,3,4690
Helsinki ,3,200,2,4119
Helsinki ,3,200,3,4319
Helsinki ,3,210,1,4535
Helsinki ,3,210,2,4812
Helsinki ,3,210,3,4633
Helsinki ,3,250,1,5046
Helsinki ,3,250,2,4692
Helsinki ,3,250,3,4328
Helsinki ,3,260,1,5369
Helsinki ,3,260,2,5342
Helsinki ,3,260,3,4315
Helsinki ,3,270,1,5004
Helsinki ,3,270,2,4397
Helsinki ,3,270,3,4362
Helsinki ,3,280,1,4698
Helsinki ,3,280,2,3809
Helsinki ,3,280,3,4102
Helsinki ,3,310,1,3627
Helsinki ,3,320,1,4132
Helsinki ,3,320,2,3367
Helsinki ,3,320,3,3422
Helsinki ,3,330,2,4258
Helsinki ,3,330,3,4169
Helsinki ,3,350,1,4162
Helsinki ,3,350,2,3330
Helsinki ,3,350,3,3612
Helsinki ,3,360,2,2896
Helsinki ,3,370,3,2605
Helsinki ,3,390,2,2818
Helsinki ,3,400,1,3618
Helsinki ,3,400,2,3126
Helsinki ,3,400,3,2829
Helsinki ,3,410,2,2417
Helsinki ,3,420,2,2676
Helsinki ,3,420,3,2456
Helsinki ,3,500,1,4423
Helsinki ,3,500,2,3906
Helsinki ,3,500,3,4195
Helsinki ,3,510,1,4343
Helsinki ,3,510,2,3923
Helsinki ,3,510,3,3632
Helsinki ,3,520,1,4202
Helsinki ,3,520,2,3563
Helsinki ,3,520,3,3062
Helsinki ,3,530,1,4576
Helsinki ,3,530,2,3964
Helsinki ,3,530,3,4093
Helsinki ,3,550,2,3640
Helsinki ,3,550,3,3800
Helsinki ,3,560,2,4418
Helsinki ,3,610,2,3601
Helsinki ,3,610,3,3491
Helsinki ,3,630,3,2165
Helsinki ,3,640,2,2744
Helsinki ,3,640,3,2644
Helsinki ,3,700,1,3407
Helsinki ,3,700,2,2663
Helsinki ,3,700,3,2375
Helsinki ,3,710,2,2327
Helsinki ,3,710,3,2444
Helsinki ,3,720,2,2689
Helsinki ,3,720,3,2584
Helsinki ,3,730,2,2911
Helsinki ,3,790,3,3583
Helsinki ,3,800,2,3119
Helsinki ,3,800,3,3128
Helsinki ,3,810,2,3665
Helsinki ,3,810,3,4244
Helsinki ,3,820,3,2484
Helsinki ,3,840,3,2810
Helsinki ,3,900,3,2070
Helsinki ,3,910,2,2722
Helsinki ,3,910,3,2536
Helsinki ,3,920,2,2413
Helsinki ,3,920,3,2112
Helsinki ,3,940,1,3120
Helsinki ,3,940,2,2376
Helsinki ,3,940,3,2024
Helsinki ,3,960,2,2261
Helsinki ,3,970,2,2467
Helsinki ,3,970,3,2305
Helsinki ,3,980,3,2707
Helsinki ,3,990,2,3622
Helsinki ,3,990,3,3962
Vantaa ,3,1200,3,1814
Vantaa ,3,1280,1,2666
Vantaa ,3,1280,2,2256
Vantaa ,3,1280,3,1936
Vantaa ,3,1300,1,3365
Vantaa ,3,1300,2,2712
Vantaa ,3,1300,3,2577
Vantaa ,3,1350,3,1949
Vantaa ,3,1360,2,2140
Vantaa ,3,1360,3,1817
Vantaa ,3,1450,3,1863
Vantaa ,3,1480,3,1687
Vantaa ,3,1510,3,3191
Vantaa ,3,1520,2,3444
Vantaa ,3,1520,3,3196
Vantaa ,3,1600,2,2352
Vantaa ,3,1600,3,2113
Vantaa ,3,1610,2,2569
Vantaa ,3,1610,3,2302
Vantaa ,3,1620,2,2275
Vantaa ,3,1620,3,1964
Vantaa ,3,1640,2,3055
Vantaa ,3,1640,3,3077
Vantaa ,3,1650,2,2148
Vantaa ,3,1650,3,1840
Vantaa ,3,1710,2,2471
Vantaa ,3,1710,3,2235
Espoo ,3,2100,3,3721
Espoo ,3,2120,2,3424
Espoo ,3,2120,3,3662
Espoo ,3,2130,3,3367
Espoo ,3,2170,2,3365
Espoo ,3,2170,3,3233
Espoo ,3,2200,3,3701
Espoo ,3,2210,3,2515
Espoo ,3,2230,1,3662
Espoo ,3,2230,2,2976
Espoo ,3,2230,3,2826
Espoo ,3,2320,3,2497
Espoo ,3,2330,2,3911
Espoo ,3,2360,2,2336
Espoo ,3,2360,3,1970
Espoo ,3,2600,3,3027
Espoo ,3,2650,2,3088
Espoo ,3,2650,3,2941
Espoo ,3,2710,2,2466
Espoo ,3,2760,1,2752
Espoo ,3,2760,2,2520
Espoo ,3,2760,3,2567
Helsinki ,4,100,1,5566
Helsinki ,4,100,2,5006
Helsinki ,4,100,3,5394
Helsinki ,4,120,1,5613
Helsinki ,4,120,2,5321
Helsinki ,4,120,3,5666
Helsinki ,4,140,1,5759
Helsinki ,4,140,2,5227
Helsinki ,4,140,3,5972
Helsinki ,4,150,1,5348
Helsinki ,4,150,2,5189
Helsinki ,4,150,3,5833
Helsinki ,4,170,1,5952
Helsinki ,4,170,2,5487
Helsinki ,4,170,3,5423
Helsinki ,4,180,2,5180
Helsinki ,4,180,3,4903
Helsinki ,4,200,2,4271
Helsinki ,4,200,3,4176
Helsinki ,4,210,1,5170
Helsinki ,4,210,2,4737
Helsinki ,4,210,3,4621
Helsinki ,4,250,1,4867
Helsinki ,4,250,2,4673
Helsinki ,4,250,3,4390
Helsinki ,4,260,3,4833
Helsinki ,4,270,1,5052
Helsinki ,4,270,2,4538
Helsinki ,4,270,3,4366
Helsinki ,4,280,3,4007
Helsinki ,4,310,3,3116
Helsinki ,4,320,2,3628
Helsinki ,4,320,3,3430
Helsinki ,4,330,1,4730
Helsinki ,4,330,2,4114
Helsinki ,4,330,3,4272
Helsinki ,4,350,1,3872
Helsinki ,4,350,2,3694
Helsinki ,4,350,3,3287
Helsinki ,4,370,2,3039
Helsinki ,4,390,2,2814
Helsinki ,4,390,3,2336
Helsinki ,4,400,1,3716
Helsinki ,4,400,2,3138
Helsinki ,4,400,3,2912
Helsinki ,4,410,2,2381
Helsinki ,4,420,2,2605
Helsinki ,4,420,3,2305
Helsinki ,4,440,3,2857
Helsinki ,4,500,1,4420
Helsinki ,4,500,2,3996
Helsinki ,4,500,3,3881
Helsinki ,4,510,1,4313
Helsinki ,4,510,2,3732
Helsinki ,4,510,3,3434
Helsinki ,4,520,1,4429
Helsinki ,4,520,2,3634
Helsinki ,4,520,3,3101
Helsinki ,4,530,1,4463
Helsinki ,4,530,2,3961
Helsinki ,4,530,3,3762
Helsinki ,4,550,2,3590
Helsinki ,4,550,3,3718
Helsinki ,4,560,2,4337
Helsinki ,4,560,3,5056
Helsinki ,4,570,3,3444
Helsinki ,4,610,2,3696
Helsinki ,4,610,3,3694
Helsinki ,4,620,2,2821
Helsinki ,4,630,3,2296
Helsinki ,4,640,2,2909
Helsinki ,4,640,3,2784
Helsinki ,4,700,2,2774
Helsinki ,4,700,3,2528
Helsinki ,4,710,3,2459
Helsinki ,4,720,2,2723
Helsinki ,4,720,3,2559
