Quarter,Postal code,Building type,Price per square meter (EUR/m2)
2010Q1,00580 Verkkosaari   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00590 Kaitalahti   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00590 Kaitalahti   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00590 Kaitalahti   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00600 Koskela-Helsinki   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00600 Koskela-Helsinki   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00600 Koskela-Helsinki   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00610 Käpylä   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00610 Käpylä   (Helsinki ),"Blocks of flats, two-room flat",3797
2010Q1,00610 Käpylä   (Helsinki ),"Blocks of flats, three-room flat+",3338
2010Q1,00620 Metsälä-Etelä-Oulunkylä   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00620 Metsälä-Etelä-Oulunkylä   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00620 Metsälä-Etelä-Oulunkylä   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00630 Maunula-Suursuo   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00630 Maunula-Suursuo   (Helsinki ),"Blocks of flats, two-room flat",2558
2010Q1,00630 Maunula-Suursuo   (Helsinki ),"Blocks of flats, three-room flat+",2424
2010Q1,00640 Oulunkylä-Patola   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00640 Oulunkylä-Patola   (Helsinki ),"Blocks of flats, two-room flat",2803
2010Q1,00640 Oulunkylä-Patola   (Helsinki ),"Blocks of flats, three-room flat+",2527
2010Q1,00650 Veräjämäki   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00650 Veräjämäki   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00650 Veräjämäki   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00660 Länsi-Pakila   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00660 Länsi-Pakila   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00660 Länsi-Pakila   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00670 Paloheinä   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00670 Paloheinä   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00670 Paloheinä   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00680 Itä-Pakila   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00680 Itä-Pakila   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00680 Itä-Pakila   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00690 Tuomarinkylä-Torpparinmäki   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00690 Tuomarinkylä-Torpparinmäki   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00690 Tuomarinkylä-Torpparinmäki   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00700 Malmi   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00700 Malmi   (Helsinki ),"Blocks of flats, two-room flat",2733
2010Q1,00700 Malmi   (Helsinki ),"Blocks of flats, three-room flat+",2448
2010Q1,00710 Pihlajamäki   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00710 Pihlajamäki   (Helsinki ),"Blocks of flats, two-room flat",2338
2010Q1,00710 Pihlajamäki   (Helsinki ),"Blocks of flats, three-room flat+",2583
2010Q1,00720 Pukinmäki-Savela   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00720 Pukinmäki-Savela   (Helsinki ),"Blocks of flats, two-room flat",2517
2010Q1,00720 Pukinmäki-Savela   (Helsinki ),"Blocks of flats, three-room flat+",2511
2010Q1,00730 Tapanila   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00730 Tapanila   (Helsinki ),"Blocks of flats, two-room flat",3180
2010Q1,00730 Tapanila   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00740 Siltamäki   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00740 Siltamäki   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00740 Siltamäki   (Helsinki ),"Blocks of flats, three-room flat+",2164
2010Q1,00750 Puistola   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00750 Puistola   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00750 Puistola   (Helsinki ),"Blocks of flats, three-room flat+",2028
2010Q1,00760 Suurmetsä   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00760 Suurmetsä   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00760 Suurmetsä   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00770 Jakomäki - Alppikylä   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00770 Jakomäki - Alppikylä   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00770 Jakomäki - Alppikylä   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00780 Tapaninvainio   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00780 Tapaninvainio   (Helsinki ),"Blocks of flats, two-room flat",2882
2010Q1,00780 Tapaninvainio   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00790 Viikki   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00790 Viikki   (Helsinki ),"Blocks of flats, two-room flat",3780
2010Q1,00790 Viikki   (Helsinki ),"Blocks of flats, three-room flat+",3248
2010Q1,00800 Länsi-Herttoniemi   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00800 Länsi-Herttoniemi   (Helsinki ),"Blocks of flats, two-room flat",2838
2010Q1,00800 Länsi-Herttoniemi   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00810 Herttoniemi   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00810 Herttoniemi   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00810 Herttoniemi   (Helsinki ),"Blocks of flats, three-room flat+",3215
2010Q1,00820 Roihuvuori   (Helsinki ),"Blocks of flats, one-room flat",3123
2010Q1,00820 Roihuvuori   (Helsinki ),"Blocks of flats, two-room flat",2697
2010Q1,00820 Roihuvuori   (Helsinki ),"Blocks of flats, three-room flat+",2403
2010Q1,00830 Tammisalo   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00830 Tammisalo   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00830 Tammisalo   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00840 Laajasalo   (Helsinki ),"Blocks of flats, one-room flat",3596
2010Q1,00840 Laajasalo   (Helsinki ),"Blocks of flats, two-room flat",2582
2010Q1,00840 Laajasalo   (Helsinki ),"Blocks of flats, three-room flat+",2572
2010Q1,00850 Jollas   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00850 Jollas   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00850 Jollas   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00870 Etelä-Laajasalo   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00870 Etelä-Laajasalo   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00870 Etelä-Laajasalo   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00890 Itäsalmi   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00890 Itäsalmi   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00890 Itäsalmi   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00900 Puotinharju   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00900 Puotinharju   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00900 Puotinharju   (Helsinki ),"Blocks of flats, three-room flat+",2125
2010Q1,00910 Puotila   (Helsinki ),"Blocks of flats, one-room flat",3422
2010Q1,00910 Puotila   (Helsinki ),"Blocks of flats, two-room flat",2498
2010Q1,00910 Puotila   (Helsinki ),"Blocks of flats, three-room flat+",2405
2010Q1,00920 Myllypuro   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00920 Myllypuro   (Helsinki ),"Blocks of flats, two-room flat",2323
2010Q1,00920 Myllypuro   (Helsinki ),"Blocks of flats, three-room flat+",2012
2010Q1,00930 Itäkeskus-Marjaniemi   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00930 Itäkeskus-Marjaniemi   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00930 Itäkeskus-Marjaniemi   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00940 Kontula - Vesala   (Helsinki ),"Blocks of flats, one-room flat",2917
2010Q1,00940 Kontula - Vesala   (Helsinki ),"Blocks of flats, two-room flat",2344
2010Q1,00940 Kontula - Vesala   (Helsinki ),"Blocks of flats, three-room flat+",2078
2010Q1,00950 Vartioharju   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00950 Vartioharju   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00950 Vartioharju   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00960 Pohjois-Vuosaari   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00960 Pohjois-Vuosaari   (Helsinki ),"Blocks of flats, two-room flat",2056
2010Q1,00960 Pohjois-Vuosaari   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00970 Mellunmäki   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00970 Mellunmäki   (Helsinki ),"Blocks of flats, two-room flat",2390
2010Q1,00970 Mellunmäki   (Helsinki ),"Blocks of flats, three-room flat+",2054
2010Q1,00980 Etelä-Vuosaari   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00980 Etelä-Vuosaari   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00980 Etelä-Vuosaari   (Helsinki ),"Blocks of flats, three-room flat+",2646
2010Q1,00990 Aurinkolahti   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00990 Aurinkolahti   (Helsinki ),"Blocks of flats, two-room flat",3755
2010Q1,00990 Aurinkolahti   (Helsinki ),"Blocks of flats, three-room flat+",3855
2010Q1,01200 Hakunila   (Vantaa ),"Blocks of flats, one-room flat",2679
2010Q1,01200 Hakunila   (Vantaa ),"Blocks of flats, two-room flat",2037
2010Q1,01200 Hakunila   (Vantaa ),"Blocks of flats, three-room flat+",1783
2010Q1,01230 Vaarala   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01230 Vaarala   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01230 Vaarala   (Vantaa ),"Blocks of flats, three-room flat+",..
2010Q1,01260 Itä-Hakkila   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01260 Itä-Hakkila   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01260 Itä-Hakkila   (Vantaa ),"Blocks of flats, three-room flat+",..
2010Q1,01280 Länsimäki   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01280 Länsimäki   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01280 Länsimäki   (Vantaa ),"Blocks of flats, three-room flat+",1789
2010Q1,01300 Tikkurila   (Vantaa ),"Blocks of flats, one-room flat",3119
2010Q1,01300 Tikkurila   (Vantaa ),"Blocks of flats, two-room flat",2539
2010Q1,01300 Tikkurila   (Vantaa ),"Blocks of flats, three-room flat+",2582
2010Q1,01340 Leinelä   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01340 Leinelä   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01340 Leinelä   (Vantaa ),"Blocks of flats, three-room flat+",..
2010Q1,01350 Hiekkaharju   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01350 Hiekkaharju   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01350 Hiekkaharju   (Vantaa ),"Blocks of flats, three-room flat+",1987
2010Q1,01360 Koivukylä-Havukoski   (Vantaa ),"Blocks of flats, one-room flat",2434
2010Q1,01360 Koivukylä-Havukoski   (Vantaa ),"Blocks of flats, two-room flat",2155
2010Q1,01360 Koivukylä-Havukoski   (Vantaa ),"Blocks of flats, three-room flat+",1737
2010Q1,01370 Jokiniemi   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01370 Jokiniemi   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01370 Jokiniemi   (Vantaa ),"Blocks of flats, three-room flat+",..
2010Q1,01380 Kuusikko-Hakkila   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01380 Kuusikko-Hakkila   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01380 Kuusikko-Hakkila   (Vantaa ),"Blocks of flats, three-room flat+",..
2010Q1,01390 Ruskeasanta-Ilola   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01390 Ruskeasanta-Ilola   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01390 Ruskeasanta-Ilola   (Vantaa ),"Blocks of flats, three-room flat+",..
2010Q1,01400 Rekola   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01400 Rekola   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01400 Rekola   (Vantaa ),"Blocks of flats, three-room flat+",..
2010Q1,01420 Päiväkumpu   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01420 Päiväkumpu   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01420 Päiväkumpu   (Vantaa ),"Blocks of flats, three-room flat+",..
2010Q1,01450 Korso   (Vantaa ),"Blocks of flats, one-room flat",2463
2010Q1,01450 Korso   (Vantaa ),"Blocks of flats, two-room flat",1775
2010Q1,01450 Korso   (Vantaa ),"Blocks of flats, three-room flat+",1659
2010Q1,01480 Mikkola   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01480 Mikkola   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01480 Mikkola   (Vantaa ),"Blocks of flats, three-room flat+",1490
2010Q1,01510 Kirkonkylä-Veromäki   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01510 Kirkonkylä-Veromäki   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01510 Kirkonkylä-Veromäki   (Vantaa ),"Blocks of flats, three-room flat+",2968
2010Q1,01520 Tammisto   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01520 Tammisto   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01520 Tammisto   (Vantaa ),"Blocks of flats, three-room flat+",3124
2010Q1,01530 Veromiehenkylä   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01530 Veromiehenkylä   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01530 Veromiehenkylä   (Vantaa ),"Blocks of flats, three-room flat+",..
2010Q1,01600 Myyrmäki   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01600 Myyrmäki   (Vantaa ),"Blocks of flats, two-room flat",2383
2010Q1,01600 Myyrmäki   (Vantaa ),"Blocks of flats, three-room flat+",2232
2010Q1,01610 Kaivoksela   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01610 Kaivoksela   (Vantaa ),"Blocks of flats, two-room flat",2403
2010Q1,01610 Kaivoksela   (Vantaa ),"Blocks of flats, three-room flat+",2042
2010Q1,01620 Martinlaakso   (Vantaa ),"Blocks of flats, one-room flat",2766
2010Q1,01620 Martinlaakso   (Vantaa ),"Blocks of flats, two-room flat",2318
